safe,card_currency,recipient_address,recipient_label,recipient_class,asset,amount_out,usd_out,n_transfers,first_blk,last_blk,balance_before,balance_now,usd_balance_now
0x328fe0d28efcfe16a7c15d2f93f3d421055c5f90,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,128.237724,128.24,1,46477495,46477495,128.237724,0.0,0.0
0xef644c7c21276faaa444830499981555d05b20f4,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,128.174675,128.17,1,46477495,46477495,128.174675,0.0,0.0
0x3a6c9606b8adbd5383fbd4229445951c78545ca4,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,109.85132132449851,128.07,1,46477425,46477425,109.85132132449851,0.0,0.0
0x7cde2ca059de772a0f0c489aca440da53f4a1729,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1134647276156742,128.0,1,46477425,46477425,1.000997758565334,0.0,0.0
0x32fbdfe5d3c564f36eaab393d7d7a171f4e75fd9,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1131702299800093,127.96,1,46477504,46477504,1.0007056939835086,0.0,0.0
0x0ef92e3c71dc99b55eae44b9d12aea167123a7a1,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1129378308000493,127.94,1,46477490,46477490,1.1129378308000493,0.0,0.0
0x24623dc86233bc8544450f36a7b044920a584cca,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,109.74,127.94,1,46477424,46477424,88.33,0.0,0.0
0x2cfaa92d414574ea6d07f2e7089e3d0375dfc4f0,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1120998776613946,127.84,1,46477496,46477496,1.1120998776613946,0.0,0.0
0x71a245877fa3f10ee87e356a97f59286b6001d97,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,127.778659,127.78,1,46477491,46477491,127.778659,0.0,0.0
0x386ef4a95e2f578435c71618f06081ef6eb6eea0,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,127.720115,127.72,1,46477491,46477491,130.100115,0.0,0.0
0xec356c420383e2c5a400da03ec15ab317788f4e2,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,127.692429,127.69,1,46477491,46477491,127.692429,0.0,0.0
0x521abd3fb4d1eb69ed81c38feab380fb7f971f09,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1107384614821212,127.69,1,46477431,46477431,1.1107384614821212,0.0,0.0
0x73c2b744a42836cecbbf209de5c3abc0c361b52f,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.110617226597737,127.67,1,46477496,46477496,1.110617226597737,0.0,0.0
0x1d336837417f2b5106f398878db56eb91d48d149,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,109.5,127.66,1,46477428,46477428,109.5,0.0,0.0
